state_fp,county_fp,avg_walkability_index,avg_intersection_density,avg_proximity_to_transit,avg_employment_mix,avg_employment_household_mix,block_groups
8,99,8.369,66.187,991.0875,0.5218,0.6006,14
8,101,7.2351,95.5175,690.005,0.4438,0.4076,134
8,103,6.6905,29.201,NA,0.514,0.7082,7
8,105,6.4,25.4128,NA,0.6217,0.5999,10
8,107,7,32.0398,NA,0.6778,0.6443,19
8,109,6.0833,34.7163,NA,0.5934,0.5868,6
8,111,7,0.4526,NA,0.8654,0.7908,1
8,113,7.4444,9.2896,1137.27,0.7429,0.6896,6
8,115,6.4444,10.2366,NA,0.7201,0.6269,3
8,117,7.1136,16.7795,1134.59,0.6696,0.6819,22
8,119,6.3111,25.4058,NA,0.6561,0.5152,15
8,121,5.3667,3.0792,NA,0.5524,0.6422,5
8,123,7.3238,69.6225,998.2367,0.513,0.5252,175
8,125,5.7407,8.5415,NA,0.5719,0.6409,9
9,1,10.3443,68.6795,473.1883,0.5852,0.5249,654
9,3,10.7001,59.7584,436.5662,0.5229,0.5028,667
9,5,7.5023,24.2303,610.1146,0.6265,0.5699,143
9,7,8.8964,29.5466,193.4417,0.5973,0.5519,119
9,9,11.2256,67.008,415.3253,0.5439,0.4965,628
9,11,9.2145,37.3241,443.2628,0.6116,0.5232,188
9,13,6.716,25.5186,529.9938,0.5776,0.5011,98
9,15,6.7557,30.0807,811.6756,0.5935,0.5333,88
10,1,8.2824,28.0734,620.9806,0.5591,0.5225,72
10,3,11.7468,86.3966,485.3522,0.5285,0.524,368
10,5,8.1878,40.5568,654.2378,0.5539,0.554,134
11,1,14.4715,160.7348,255.482,0.4784,0.4352,450
12,1,10.2763,63.5834,528.4287,0.5622,0.5336,155
12,3,5.6806,24.5588,NA,0.5369,0.4874,12
12,5,10.2141,60.8405,637.5967,0.6037,0.5601,109
12,7,5.4074,10.7981,NA,0.554,0.4995,18
12,9,10.044,63.3045,694.9239,0.576,0.481,318
12,11,12.4457,96.6281,596.377,0.5999,0.5033,940
12,13,4.9167,8.9396,NA,0.4547,0.5297,10
12,15,7.2438,62.9828,1097.04,0.5714,0.4397,108
12,17,6.8655,33.1714,809.0786,0.5872,0.4212,88
12,19,7.1091,39.832,679.682,0.5997,0.5171,81
12,21,7.2297,49.6063,812.715,0.5706,0.5496,193
12,23,6.4917,45.6851,NA,0.5573,0.5181,40
12,27,6.0128,37.4083,NA,0.4568,0.5467,26
12,29,4.0385,5.15,NA,0.4478,0.3608,13
12,31,11.4088,85.2709,544.6107,0.5657,0.5131,490
12,33,10.1466,61.6923,505.1439,0.526,0.5211,191
12,35,6.5737,45.3021,NA,0.585,0.4371,52
12,37,6.0897,38.8921,NA,0.4925,0.5106,13
12,39,4.6198,8.8136,NA,0.4342,0.4914,32
12,41,4.2308,3.839,NA,0.4353,0.4651,13
12,43,4.1667,22.8682,NA,0.3249,0.4495,11
12,45,5.7778,20.9793,NA,0.4836,0.5638,15
12,47,5.5,44.7859,NA,0.4475,0.5156,10
12,49,6.275,37.1908,NA,0.5114,0.615,20
12,51,6.1667,44.3513,NA,0.4417,0.5265,25
12,53,8.4174,52.1204,767.4088,0.5444,0.4274,107
12,55,6.4409,49.0663,NA,0.5084,0.4637,79
12,57,10.5136,94.6491,570.1655,0.5457,0.4934,881
12,59,4.3222,9.6476,NA,0.5038,0.42,15
12,61,7.2778,53.4884,NA,0.5618,0.5375,93
12,63,5.188,14.2187,NA,0.5223,0.5018,39
12,65,5.0303,5.8117,NA,0.5737,0.4882,11
